bonusGameFeaturesDistributions
profile,ways,weight,featuretype,payload_value,payload_symbol,payload_oak,payload_waysAmount,
BonusLow,
,MinWays,
,,2,GuaranteedWin,,0,3,1,
,,2,GuaranteedWin,,0,4,1,
,,2,GuaranteedWin,,1,3,1,
,,2,GuaranteedWin,,1,4,1,
,,2,GuaranteedWin,,2,3,1,
,,2,GuaranteedWin,,2,4,1,
,,2,GuaranteedWin,,3,3,1,
,,2,GuaranteedWin,,3,4,1,
,,2,GuaranteedWin,,4,3,1,
,,2,GuaranteedWin,,4,4,1,
,,20,BeeWilds,2,
,,2,BeeWilds,3,
,LowWays,
,,8000,None,
,,200,ExpandedInstantPrize,0,
,,200,ExpandedInstantPrize,1,
,,75,ExpandedInstantPrize,22,
,,75,ExpandedInstantPrize,23,
,,30,BookReplacement,0,
,,30,BookReplacement,2,
,,30,BookReplacement,4,
,,30,BookReplacement,6,
,,30,BookReplacement,8,
,,200,BookReplacement,10,
,,10,BookReplacement,11,
,,200,BookReplacement,13,
,,10,BookReplacement,14,
,,200,BookReplacement,16,
,,10,BookReplacement,17,
,,100,FakeBee,
,MedWays,
,,8000,None,
,,200,ExpandedInstantPrize,0,
,,200,ExpandedInstantPrize,1,
,,70,ExpandedInstantPrize,22,
,,70,ExpandedInstantPrize,23,
,,30,BookReplacement,0,
,,30,BookReplacement,2,
,,30,BookReplacement,4,
,,30,BookReplacement,6,
,,30,BookReplacement,8,
,,200,BookReplacement,10,
,,20,BookReplacement,11,
,,200,BookReplacement,13,
,,20,BookReplacement,14,
,,200,BookReplacement,16,
,,20,BookReplacement,17,
,,100,FakeBee,
,HighWays,
,,9000,None,
,,200,ExpandedInstantPrize,0,
,,200,ExpandedInstantPrize,1,
,,50,ExpandedInstantPrize,22,
,,50,ExpandedInstantPrize,23,
,,30,BookReplacement,0,
,,30,BookReplacement,2,
,,30,BookReplacement,4,
,,30,BookReplacement,6,
,,30,BookReplacement,8,
,,200,BookReplacement,10,
,,20,BookReplacement,11,
,,200,BookReplacement,13,
,,20,BookReplacement,14,
,,200,BookReplacement,16,
,,20,BookReplacement,17,
,,100,BookReplacement,19,
,,100,BookReplacement,22,
,,150,FakeBee,
,MaxWays,
,,9000,None,
,,200,ExpandedInstantPrize,0,
,,200,ExpandedInstantPrize,1,
,,50,ExpandedInstantPrize,22,
,,50,ExpandedInstantPrize,23,
,,30,BookReplacement,0,
,,30,BookReplacement,2,
,,30,BookReplacement,4,
,,30,BookReplacement,6,
,,30,BookReplacement,8,
,,70,BookReplacement,10,
,,10,BookReplacement,11,
,,70,BookReplacement,13,
,,10,BookReplacement,14,
,,70,BookReplacement,16,
,,10,BookReplacement,17,
,,70,BookReplacement,19,
,,70,BookReplacement,22,
,,150,FakeBee,
BonusNewLow,
,MinWays,
,,440000,None,
,,250000,BeeWilds,2,
,,150000,BeeWilds,3,
,,5000,BookReplacement,0,
,,5000,BookReplacement,2,
,,5000,BookReplacement,4,
,,3500,BookReplacement,6,
,,3500,BookReplacement,8,
,,1500,BookReplacement,10,
,,1500,BookReplacement,13,
,,1500,BookReplacement,16,
,,1500,BookReplacement,19,
,,1500,BookReplacement,22,
,,1500,FakeBee,
,,100000,ExpandedInstantPrize,0,
,,3125,ExpandedInstantPrize,1,
,,1875,ExpandedInstantPrize,2,
,LowWays,
,,625000,None,
,,105000,BeeWilds,2,
,,17500,BeeWilds,3,
,,7700,BookReplacement,0,
,,7700,BookReplacement,2,
,,7700,BookReplacement,4,
,,7700,BookReplacement,6,
,,7700,BookReplacement,8,
,,17800,BookReplacement,10,
,,17400,BookReplacement,13,
,,17400,BookReplacement,16,
,,17200,BookReplacement,19,
,,15200,BookReplacement,22,
,,25200,FakeBee,
,,42000,ExpandedInstantPrize,0,
,,7500,ExpandedInstantPrize,1,
,,6000,ExpandedInstantPrize,2,
,MedWays,
,,925000,None,
,,30000,BeeWilds,2,
,,1700,BookReplacement,0,
,,1700,BookReplacement,2,
,,1700,BookReplacement,4,
,,1700,BookReplacement,6,
,,1700,BookReplacement,8,
,,14800,BookReplacement,10,
,,12400,BookReplacement,13,
,,9400,BookReplacement,16,
,,5200,BookReplacement,19,
,,5200,BookReplacement,22,
,,15200,FakeBee,
,,42000,ExpandedInstantPrize,0,
,,5000,ExpandedInstantPrize,1,
,,3000,ExpandedInstantPrize,2,
,HighWays,
,,890000,None,
,,15000,BeeWilds,2,
,,1500,BookReplacement,0,
,,1500,BookReplacement,2,
,,1500,BookReplacement,4,
,,1500,BookReplacement,6,
,,1500,BookReplacement,8,
,,12000,BookReplacement,10,
,,11000,BookReplacement,13,
,,11500,BookReplacement,16,
,,11500,BookReplacement,19,
,,11500,BookReplacement,22,
,,7500,FakeBee,
,,48000,ExpandedInstantPrize,0,
,,7500,ExpandedInstantPrize,1,
,,4500,ExpandedInstantPrize,2,
,MaxWays,
,,850000,None,
,,10000,BeeWilds,2,
,,1800,BookReplacement,0,
,,1800,BookReplacement,2,
,,1800,BookReplacement,4,
,,1800,BookReplacement,6,
,,1800,BookReplacement,8,
,,14400,BookReplacement,10,
,,13200,BookReplacement,13,
,,10200,BookReplacement,16,
,,6600,BookReplacement,19,
,,6600,BookReplacement,22,
,,20000,FakeBee,
,,64000,ExpandedInstantPrize,0,
,,10000,ExpandedInstantPrize,1,
,,6000,ExpandedInstantPrize,2,
BonusCoinSmall,
,MinWays,
,,15,None,
,,2,GuaranteedWin,,0,3,1,
,,2,GuaranteedWin,,0,4,1,
,,2,GuaranteedWin,,1,3,1,
,,2,GuaranteedWin,,1,4,1,
,,2,GuaranteedWin,,2,3,1,
,,2,GuaranteedWin,,2,4,1,
,,2,GuaranteedWin,,3,3,1,
,,2,GuaranteedWin,,3,4,1,
,,2,GuaranteedWin,,4,3,1,
,,2,GuaranteedWin,,4,4,1,
,,20,BeeWilds,2,
,,1,BeeWilds,3,
,,1,BeeWilds,4,
,,1,BeeWilds,5,
,LowWays,
,,570000,None,
,,15000,BeeWilds,2,
,,7500,BeeWilds,3,
,,3500,BeeWilds,4,
,,1250,BeeWilds,5,
,,500,BeeWilds,6,
,,10500,ExpandedInstantPrize,4,
,,10500,ExpandedInstantPrize,5,
,,10500,ExpandedInstantPrize,6,
,,10500,ExpandedInstantPrize,7,
,,10500,ExpandedInstantPrize,8,
,,10500,ExpandedInstantPrize,9,
,,10500,ExpandedInstantPrize,10,
,,10500,ExpandedInstantPrize,11,
,,7500,ExpandedInstantPrize,12,
,,7500,ExpandedInstantPrize,13,
,,7500,FakeBee,
,MedWays,
,,70000,None,
,,2000,BeeWilds,3,
,,1500,BeeWilds,4,
,,500,BeeWilds,5,
,,350,BeeWilds,6,
,,350,BeeWilds,7,
,,2500,ExpandedInstantPrize,4,
,,2500,ExpandedInstantPrize,5,
,,2500,ExpandedInstantPrize,6,
,,2500,ExpandedInstantPrize,7,
,,2500,ExpandedInstantPrize,8,
,,2500,ExpandedInstantPrize,9,
,,2500,ExpandedInstantPrize,10,
,,2500,ExpandedInstantPrize,11,
,,1000,ExpandedInstantPrize,12,
,,1000,ExpandedInstantPrize,13,
,,500,FakeBee,
,HighWays,
,,750000,None,
,,3000,BeeWilds,2,
,,1500,BeeWilds,3,
,,250,BeeWilds,4,
,,50,BeeWilds,5,
,,5000,ExpandedInstantPrize,4,
,,5000,ExpandedInstantPrize,5,
,,5000,ExpandedInstantPrize,6,
,,5000,ExpandedInstantPrize,7,
,,3000,ExpandedInstantPrize,8,
,,3000,ExpandedInstantPrize,9,
,,2000,ExpandedInstantPrize,10,
,,12500,ExpandedInstantPrize,21,
,,12500,ExpandedInstantPrize,22,
,,12500,ExpandedInstantPrize,23,
,,5000,FakeBee,
,MaxWays,
,,750000,None,
BonusReplaceSmall,
,MinWays,
,,15,None,
,,2,GuaranteedWin,,0,3,1,
,,2,GuaranteedWin,,0,4,1,
,,2,GuaranteedWin,,1,3,1,
,,2,GuaranteedWin,,1,4,1,
,,2,GuaranteedWin,,2,3,1,
,,2,GuaranteedWin,,2,4,1,
,,2,GuaranteedWin,,3,3,1,
,,2,GuaranteedWin,,3,4,1,
,,2,GuaranteedWin,,4,3,1,
,,2,GuaranteedWin,,4,4,1,
,,20,BeeWilds,2,
,,1,BeeWilds,3,
,,1,BeeWilds,4,
,,1,BeeWilds,5,
,LowWays,
,,570000,None,
,,15000,BeeWilds,2,
,,7500,BeeWilds,3,
,,3500,BeeWilds,4,
,,1250,BeeWilds,5,
,,500,BeeWilds,6,
,,3000,BookReplacement,0,
,,7500,BookReplacement,1,
,,3000,BookReplacement,2,
,,7500,BookReplacement,3,
,,3000,BookReplacement,4,
,,7500,BookReplacement,5,
,,3000,BookReplacement,6,
,,7500,BookReplacement,7,
,,3000,BookReplacement,8,
,,7500,BookReplacement,9,
,,1000,BookReplacement,10,
,,7500,BookReplacement,11,
,,5500,BookReplacement,12,
,,1000,BookReplacement,13,
,,7500,BookReplacement,14,
,,3500,BookReplacement,15,
,,1500,BookReplacement,16,
,,4000,BookReplacement,17,
,,2500,BookReplacement,18,
,,1500,BookReplacement,19,
,,3000,BookReplacement,20,
,,1500,BookReplacement,21,
,,1500,BookReplacement,22,
,,3000,BookReplacement,23,
,,1500,BookReplacement,24,
,,7500,FakeBee,
,MedWays,
